epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7381,1.22068,2.15626,1.81719,1.90546,0.19226,0.35901,0.16729,0.07777,0.09555,0.16011,0.06238,0.01382,1.71812,9.766,4.30457,2.73928,0.0621689,0.00439111,0.00439111
2,106.466,1.26778,2.02393,1.75765,1.95824,0.48153,0.63657,0.61673,0.35941,0.47983,0.59474,0.58333,0.38429,1.21716,2.89038,3.26305,2.04695,0.024148,0.00879451,0.00879451
3,158.521,1.27219,2.16967,1.56231,1.93981,0.85412,0.39602,0.4911,0.30667,0.8585,0.40044,0.47096,0.33405,1.20591,2.31376,1.99702,1.86962,0.0103794,0.0103794,0.0103794
4,210.18,1.14729,1.9375,1.52029,1.81534,0.54537,0.56835,0.60743,0.36539,0.5262,0.54777,0.58208,0.39526,1.10715,1.96021,1.69027,1.85958,0.0103691,0.0103691,0.0103691
5,261.945,1.04755,1.74854,1.47809,1.72324,0.70207,0.73415,0.76019,0.49436,0.73158,0.75349,0.77955,0.55981,0.97343,1.19139,1.17406,1.69256,0.0103588,0.0103588,0.0103588
6,313.907,1.01705,1.6331,1.40911,1.67432,0.66757,0.81434,0.8442,0.55423,0.67719,0.81679,0.836,0.60297,0.92203,1.18546,1.14182,1.6016,0.0103485,0.0103485,0.0103485
7,365.837,0.95792,1.53866,1.08074,1.63698,0.80807,0.8607,0.91212,0.66066,0.8154,0.86386,0.91686,0.6799,0.77266,1.01216,0.90625,1.48763,0.0103382,0.0103382,0.0103382
8,417.784,0.90862,1.4348,1.0044,1.56756,0.82237,0.87414,0.90276,0.64749,0.83123,0.87414,0.90441,0.6767,0.78677,1.08774,0.91631,1.50283,0.0103279,0.0103279,0.0103279
9,469.688,0.92342,1.47693,1.05481,1.59544,0.82462,0.85258,0.88241,0.64044,0.81453,0.84113,0.87868,0.66322,0.84666,1.18888,0.96233,1.54466,0.0103176,0.0103176,0.0103176
10,521.777,0.87024,1.455,0.9561,1.53525,0.84403,0.8473,0.88856,0.64293,0.84184,0.85016,0.8791,0.67602,0.70529,0.93454,0.91374,1.4049,0.0103073,0.0103073,0.0103073
11,573.801,0.77657,1.35853,0.87614,1.4445,0.90705,0.88401,0.92898,0.71588,0.91057,0.89037,0.93862,0.73442,0.64671,0.88566,0.7325,1.37059,0.010297,0.010297,0.010297
12,625.907,0.77345,1.31625,0.82678,1.44263,0.87819,0.85077,0.89572,0.68525,0.88812,0.8349,0.89532,0.68705,0.70761,1.09001,0.89597,1.41968,0.0102867,0.0102867,0.0102867
13,677.813,0.78098,1.26242,0.82786,1.42776,0.86212,0.8508,0.92604,0.69752,0.87006,0.85943,0.91966,0.70851,0.70766,0.84204,0.75647,1.37483,0.0102764,0.0102764,0.0102764
