epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.3649,1.31826,2.30677,3.23908,0.00515,3.53389,0.61579,0.51038,0.43293,0.31719,0.61228,0.50541,0.42512,0.2762,0.99052,1.54202,1.31922,0.00469,0,0.013,0.00433333,0.013,0.00433333,0.0713333,0.0626667,0.013,0.00433333
2,139.734,1.07139,1.65577,1.41184,0.00362,1.48246,0.60759,0.59636,0.6424,0.53059,0.6239,0.6018,0.65658,0.4558,1.03458,1.52177,1.91795,0.00418,0,0.026174,0.00872468,0.026174,0.00872468,0.0421997,0.0247503,0.026174,0.00872468
3,197.471,1.06638,1.60062,1.22588,0.00339,1.35835,0.77947,0.63107,0.72295,0.58739,0.78127,0.63261,0.72359,0.53243,0.98416,1.45441,1.05402,0.00405,0,0.0311382,0.0103794,0.0311382,0.0103794,0.0311382,0.0103794,0.0311382,0.0103794
4,255.274,1.0355,1.48369,1.10547,0.00329,1.08696,0.65394,0.72082,0.71037,0.56978,0.65176,0.71807,0.70365,0.48846,1.03692,1.43798,1.03079,0.00415,0,0.0311073,0.0103691,0.0311073,0.0103691,0.0311073,0.0103691,0.0311073,0.0103691
5,314.014,1.02907,1.48305,1.016,0.0032,0.86486,0.85785,0.72974,0.82089,0.68988,0.8534,0.72531,0.81271,0.60274,0.92407,1.36022,0.87177,0.00381,0,0.0310764,0.0103588,0.0310764,0.0103588,0.0310764,0.0103588,0.0310764,0.0103588
6,372.54,1.01381,1.45248,0.92791,0.0032,0.90876,0.86747,0.82703,0.8923,0.75324,0.85913,0.81828,0.87896,0.64806,0.91401,1.39554,0.82809,0.00355,0,0.0310454,0.0103485,0.0310454,0.0103485,0.0310454,0.0103485,0.0310454,0.0103485
7,430.728,0.99311,1.4055,0.90011,0.00311,0.68239,0.83642,0.82145,0.87593,0.74283,0.8791,0.78644,0.87254,0.66767,0.88675,1.34199,0.97401,0.00355,0,0.0310145,0.0103382,0.0310145,0.0103382,0.0310145,0.0103382,0.0310145,0.0103382
8,488.663,0.97418,1.40502,0.87578,0.00302,0.63138,0.82582,0.79348,0.84925,0.70826,0.82774,0.77717,0.84113,0.63253,0.8713,1.30593,0.82329,0.00357,0,0.0309836,0.0103279,0.0309836,0.0103279,0.0309836,0.0103279,0.0309836,0.0103279
9,546.649,0.97397,1.39704,0.87104,0.003,0.6531,0.85383,0.81351,0.89271,0.74374,0.85163,0.8117,0.88863,0.69418,1.01122,1.31938,0.93506,0.00382,0,0.0309527,0.0103176,0.0309527,0.0103176,0.0309527,0.0103176,0.0309527,0.0103176
10,605.128,0.97747,1.3672,0.86852,0.00303,0.54524,0.84591,0.86213,0.89916,0.7745,0.83981,0.85176,0.88596,0.6938,0.8494,1.26353,0.764,0.00322,0,0.0309218,0.0103073,0.0309218,0.0103073,0.0309218,0.0103073,0.0309218,0.0103073
11,663.5,0.96089,1.34173,0.8181,0.00287,0.49494,0.85842,0.82585,0.8929,0.76115,0.87881,0.80276,0.88002,0.68213,0.89111,1.35144,0.83119,0.00332,0,0.0308909,0.010297,0.0308909,0.010297,0.0308909,0.010297,0.0308909,0.010297
12,721.052,0.94344,1.33174,0.81301,0.00284,0.51366,0.84401,0.84308,0.90333,0.78492,0.86642,0.81597,0.89438,0.70637,0.84391,1.24744,0.76338,0.00328,0,0.03086,0.0102867,0.03086,0.0102867,0.03086,0.0102867,0.03086,0.0102867
13,780.03,0.96867,1.32448,0.80763,0.0028,0.52586,0.83685,0.8436,0.876,0.733,0.83419,0.84079,0.87031,0.68745,0.89562,1.2836,0.80324,0.0034,0,0.0308291,0.0102764,0.0308291,0.0102764,0.0308291,0.0102764,0.0308291,0.0102764
14,838.104,0.94194,1.2977,0.77685,0.00285,0.46234,0.8412,0.82495,0.88475,0.75514,0.83496,0.8183,0.87474,0.66093,0.85455,1.29722,0.78739,0.00343,0,0.0307982,0.0102661,0.0307982,0.0102661,0.0307982,0.0102661,0.0307982,0.0102661
15,897.057,0.93309,1.30837,0.77868,0.00274,0.45002,0.82733,0.84167,0.87822,0.74245,0.82453,0.83913,0.87383,0.67385,0.9353,1.36336,0.89732,0.0035,0,0.0307672,0.0102557,0.0307672,0.0102557,0.0307672,0.0102557,0.0307672,0.0102557
16,954.697,0.92707,1.28885,0.77582,0.00286,0.478,0.90806,0.85921,0.91514,0.78815,0.90138,0.85226,0.90084,0.69418,0.87632,1.26158,0.73969,0.00329,0,0.0307363,0.0102454,0.0307363,0.0102454,0.0307363,0.0102454,0.0307363,0.0102454
17,1013.65,0.93714,1.30024,0.75089,0.0027,0.43752,0.74239,0.79338,0.83915,0.70831,0.73421,0.7842,0.82618,0.6187,0.87166,1.24463,0.85623,0.00349,0,0.0307054,0.0102351,0.0307054,0.0102351,0.0307054,0.0102351,0.0307054,0.0102351
18,1070.65,0.928,1.26011,0.78351,0.00282,0.41628,0.90071,0.84817,0.9143,0.79453,0.90053,0.83858,0.90633,0.71491,0.84107,1.20344,0.734,0.00321,0,0.0306745,0.0102248,0.0306745,0.0102248,0.0306745,0.0102248,0.0306745,0.0102248
19,1128.8,0.92692,1.25334,0.74691,0.00273,0.38,0.88857,0.86914,0.91523,0.80124,0.88331,0.86195,0.90424,0.70453,0.84161,1.24024,0.73271,0.00302,0,0.0306436,0.0102145,0.0306436,0.0102145,0.0306436,0.0102145,0.0306436,0.0102145
20,1186.55,0.90979,1.24031,0.73668,0.00266,0.37794,0.83404,0.79417,0.88621,0.77022,0.83783,0.78778,0.87934,0.68945,0.82315,1.25418,0.74349,0.00309,0,0.0306127,0.0102042,0.0306127,0.0102042,0.0306127,0.0102042,0.0306127,0.0102042
21,1245.18,0.90808,1.22614,0.72932,0.00265,0.49393,0.89017,0.85294,0.91254,0.80054,0.88717,0.84319,0.9016,0.69976,0.83796,1.21508,0.71888,0.00305,0,0.0305818,0.0101939,0.0305818,0.0101939,0.0305818,0.0101939,0.0305818,0.0101939
22,1303.59,0.89434,1.21181,0.729,0.00261,0.39658,0.89647,0.83416,0.90607,0.78015,0.88976,0.8295,0.89741,0.69654,0.87043,1.22637,0.73627,0.00324,0,0.0305509,0.0101836,0.0305509,0.0101836,0.0305509,0.0101836,0.0305509,0.0101836
23,1360.74,0.89228,1.20464,0.71445,0.00271,0.38403,0.91494,0.84214,0.91281,0.79311,0.90918,0.83716,0.90274,0.70546,0.87554,1.20233,0.73381,0.00319,0,0.0305199,0.0101733,0.0305199,0.0101733,0.0305199,0.0101733,0.0305199,0.0101733
24,1419.01,0.90855,1.22058,0.70073,0.00262,0.39043,0.86803,0.86579,0.91098,0.80133,0.86166,0.85466,0.90356,0.70834,0.83819,1.20052,0.7524,0.00298,0,0.030489,0.010163,0.030489,0.010163,0.030489,0.010163,0.030489,0.010163
25,1477.25,0.89737,1.21795,0.72236,0.00264,0.38999,0.8772,0.87368,0.92524,0.80909,0.87553,0.86787,0.91928,0.72448,0.82886,1.20341,0.71764,0.00301,0,0.0304581,0.0101527,0.0304581,0.0101527,0.0304581,0.0101527,0.0304581,0.0101527
26,1536.08,0.89347,1.18625,0.6893,0.00256,0.37503,0.87851,0.85926,0.91724,0.80529,0.87491,0.85377,0.90519,0.70473,0.87711,1.25608,0.71566,0.00304,0,0.0304272,0.0101424,0.0304272,0.0101424,0.0304272,0.0101424,0.0304272,0.0101424
27,1594.78,0.88467,1.17,0.68768,0.00257,0.33453,0.88555,0.86857,0.91699,0.79436,0.87633,0.85958,0.90393,0.70218,0.85456,1.1768,0.75026,0.00319,0,0.0303963,0.0101321,0.0303963,0.0101321,0.0303963,0.0101321,0.0303963,0.0101321
28,1653.01,0.87711,1.1863,0.68994,0.0026,0.3241,0.89794,0.85084,0.91529,0.79108,0.89464,0.84659,0.90957,0.71951,0.8734,1.18984,0.77961,0.0031,0,0.0303654,0.0101218,0.0303654,0.0101218,0.0303654,0.0101218,0.0303654,0.0101218
